ECG,heart rate
-0.02106,0
-0.02106,0
-0.02106,0
-0.02136,0
-0.02167,0
-0.02228,0
-0.02319,0
-0.02472,0
-0.02655,0
-0.02899,0
-0.03143,0
-0.03448,0
-0.03754,0
-0.04028,0
-0.04303,0
-0.04608,0
-0.04913,0
-0.05188,0
-0.05402,0
-0.05524,0
-0.05463,0
-0.05219,0
-0.047,0
-0.03876,0
-0.02655,0
-0.01038,0
0.01068,0
0.03662,0
0.06836,0
0.10681,0
0.15289,0
0.2063,0
0.26794,0
0.33752,0
0.41473,0
0.49927,0
0.59021,0
0.68665,0
0.78674,0
0.88898,0
0.99121,0
1.09161,0
1.18896,0
1.28052,0
1.36505,0
1.44073,0
1.50574,0
1.55884,0
1.59912,0
1.62537,0
1.63666,0
1.633,0
1.61438,0
1.58142,0
1.53564,0
1.47766,0
1.409,0
1.33148,0
1.24634,0
1.1557,0
1.0614,0
0.96527,0
0.86884,0
0.77393,0
0.68115,0
0.59204,0
0.50751,0
0.42816,0
0.35553,0
0.28961,0
0.23041,0
0.17883,0
0.13428,0
0.09644,0
0.06561,0
0.0412,0
0.02289,0
0.00916,0
0.00031,0
-0.00519,0
-0.00732,0
-0.00732,0
-0.0058,0
-0.00305,0
0,0
0.00336,0
0.00641,0
0.00885,0
0.01038,0
0.01099,0
0.01068,0
0.00946,0
0.00732,0
0.00427,0
0.00061,0
-0.00397,0
-0.00885,0
-0.01373,0
-0.01892,0
-0.0238,0
-0.02869,0
-0.03296,0
-0.03693,0
-0.04059,0
-0.04364,0
-0.04608,0
-0.04791,0
-0.04944,0
-0.05066,0
-0.05127,0
-0.05157,0
-0.05188,0
-0.05219,0
-0.05219,0
-0.05188,0
-0.05157,0
-0.05127,0
-0.05096,0
-0.05066,0
-0.05005,0
-0.04944,0
-0.04883,0
-0.04791,0
-0.0473,0
-0.04639,0
-0.04578,0
-0.04486,0
-0.04395,0
-0.04303,0
-0.04211,0
-0.0412,0
-0.04028,0
-0.03906,0
-0.03815,0
-0.03723,0
-0.03662,0
-0.03601,0
-0.0354,0
-0.03479,0
-0.03418,0
-0.03387,0
-0.03326,0
-0.03265,0
-0.03204,0
-0.03113,0
-0.03052,0
-0.0296,0
-0.02869,0
-0.02747,0
-0.02625,0
-0.02502,0
-0.02411,0
-0.02289,0
-0.02167,0
-0.02075,0
-0.01984,0
-0.01923,0
-0.01862,0
-0.01801,0
-0.0177,0
-0.0174,0
-0.0174,0
-0.0174,0
-0.0174,0
-0.0174,0
-0.0174,0
-0.01709,0
-0.01709,0
-0.01648,0
-0.01587,0
-0.01495,0
-0.01373,0
-0.01251,0
-0.01068,0
-0.00885,0
-0.00671,0
-0.00427,0
-0.00214,0
0,0
0.00244,0
0.00458,0
0.00671,0
0.00885,0
0.01068,0
0.01251,0
0.01404,0
0.01556,0
0.01709,0
0.01831,0
0.01923,0
0.02045,0
0.02136,0
0.02228,0
0.02289,0
0.0238,0
0.02472,0
0.02563,0
0.02655,0
0.02777,0
0.02899,0
0.03021,0
0.03143,0
0.03265,0
0.03387,0
0.0354,0
0.03662,0
0.03815,0
0.03967,0
0.0415,0
0.04303,0
0.04486,0
0.04669,0
0.04852,0
0.05066,0
0.0531,0
0.05554,0
0.05798,0
0.06073,0
0.06348,0
0.06622,0
0.06897,0
0.07172,0
0.07446,0
0.07751,0
0.08057,0
0.08362,0
0.08667,0
0.08942,0
0.09247,0
0.09521,0
0.09766,0
0.1004,0
0.10284,0
0.10498,0
0.10712,0
0.10895,0
0.11108,0
0.11292,0
0.11475,0
0.11688,0
0.11902,0
0.12146,0
0.12421,0
0.12695,0
0.1297,0
0.13245,0
0.1355,0
0.13886,0
0.14252,0
0.14618,0
0.15015,0
0.15442,0
0.15869,0
0.16357,0
0.16815,0
0.17273,0
0.177,0
0.18158,0
0.18616,0
0.19043,0
0.19501,0
0.19959,0
0.20416,0
0.20844,0
0.21332,0
0.2179,0
0.22247,0
0.22705,0
0.23132,0
0.2359,0
0.24048,0
0.24506,0
0.24933,0
0.25391,0
0.25848,0
0.26306,0
0.26764,0
0.27191,0
0.27618,0
0.28015,0
0.28381,0
0.28778,0
0.29144,0
0.2948,0
0.29846,0
0.30182,0
0.30548,0
0.30884,0
0.31189,0
0.31494,0
0.31799,0
0.32105,0
0.32379,0
0.32654,0
0.32929,0
0.33173,0
0.33417,0
0.33661,0
0.33875,0
0.34088,0
0.34302,0
0.34485,0
0.34638,0
0.3479,0
0.34943,0
0.35065,0
0.35156,0
0.35278,0
0.354,0
0.35492,0
0.35553,0
0.35614,0
0.35675,0
0.35736,0
0.35797,0
0.35858,0
0.35919,0
0.35919,0
0.35889,0
0.35858,0
0.35767,0
0.35645,0
0.35492,0
0.35309,0
0.35095,0
0.34851,0
0.34546,0
0.3421,0
0.33814,0
0.33417,0
0.32959,0
0.3244,0
0.31921,0
0.31342,0
0.30731,0
0.30121,0
0.2948,0
0.28809,0
0.28137,0
0.27466,0
0.26764,0
0.26062,0
0.2533,0
0.24597,0
0.23834,0
0.23071,0
0.22278,0
0.21484,0
0.20691,0
0.19898,0
0.19104,0
0.1828,0
0.17456,0
0.16632,0
0.15808,0
0.14984,0
0.1416,0
0.13336,0
0.12512,0
0.11688,0
0.10864,0
0.1004,0
0.09216,0
0.08423,0
0.07629,0
0.06866,0
0.06104,0
0.05371,0
0.04639,0
0.03967,0
0.03296,0
0.02655,0
0.02014,0
0.01434,0
0.00854,0
0.00336,0
-0.00183,0
-0.00702,0
-0.0119,0
-0.01648,0
-0.02106,0
-0.02563,0
-0.0296,0
-0.03387,0
-0.03784,0
-0.0415,0
-0.04486,0
-0.04822,0
-0.05127,0
-0.05432,0
-0.05737,0
-0.06012,0
-0.06256,0
-0.0647,0
-0.06653,0
-0.06836,0
-0.06989,0
-0.07111,0
-0.07202,0
-0.07263,0
-0.07324,0
-0.07385,0
-0.07416,0
-0.07477,0
-0.07507,0
-0.07538,0
-0.07568,0
-0.07599,0
-0.07599,0
-0.07629,0
-0.07629,0
-0.0766,0
-0.0769,0
-0.0769,0
-0.07721,0
-0.07721,0
-0.0769,0
-0.0769,0
-0.0766,0
-0.07629,0
-0.07599,0
-0.07538,0
-0.07507,0
-0.07477,0
-0.07416,0
-0.07355,0
-0.07294,0
-0.07233,0
-0.07172,0
-0.07111,0
-0.07019,0
-0.06927,0
-0.06836,0
-0.06744,0
-0.06653,0
-0.06592,0
-0.065,0
-0.0647,0
-0.06409,0
-0.06348,0
-0.06287,0
-0.06226,0
-0.06165,0
-0.06073,0
-0.06012,0
-0.05981,0
-0.05951,0
-0.0592,0
-0.0589,0
-0.05859,0
-0.05829,0
-0.05829,0
-0.05798,0
-0.05798,0
-0.05768,0
-0.05768,0
-0.05737,0
-0.05737,0
-0.05737,0
-0.05737,0
-0.05707,0
-0.05707,0
-0.05707,0
-0.05707,0
-0.05676,0
-0.05646,0
-0.05585,0
-0.05554,0
-0.05524,0
-0.05463,0
-0.05402,0
-0.05371,0
-0.05341,0
-0.0531,0
-0.0528,0
-0.05249,0
-0.05219,0
-0.05219,0
-0.05188,0
-0.05188,0
-0.05188,0
-0.05219,0
-0.05219,0
-0.0528,0
-0.0531,0
-0.05341,0
-0.05371,0
-0.05402,0
-0.05432,0
-0.05432,0
-0.05432,0
-0.05402,0
-0.05371,0
-0.05341,0
-0.05341,0
-0.0531,0
-0.0531,0
-0.0531,0
-0.0528,0
-0.0528,0
-0.0528,0
-0.0531,0
-0.05341,0
-0.05371,0
-0.05402,0
-0.05463,0
-0.05524,0
-0.05615,0
-0.05676,0
-0.05768,0
-0.05859,0
-0.05951,0
-0.06012,0
-0.06073,0
-0.06134,0
-0.06165,0
-0.06226,0
-0.06256,0
-0.06317,0
-0.06348,0
-0.06378,0
-0.06409,0
-0.06439,0
-0.065,0
-0.065,0
-0.06531,0
-0.06561,0
-0.06592,0
-0.06653,0
-0.06683,0
-0.06744,0
-0.06775,0
-0.06836,0
-0.06897,0
-0.06958,0
-0.07019,0
-0.0705,0
-0.07111,0
-0.07141,0
-0.07202,0
-0.07263,0
-0.07324,0
-0.07385,0
-0.07446,0
-0.07507,0
-0.07568,0
-0.07629,0
-0.0769,0
-0.07721,0
-0.07751,0
-0.07813,0
-0.07843,0
-0.07874,0
-0.07874,0
-0.07904,0
-0.07935,0
-0.07965,0
-0.07965,0
-0.07996,0
-0.07996,0
-0.08026,0
-0.08057,0
-0.08087,0
-0.08118,0
-0.08148,0
-0.08209,0
-0.0827,0
-0.08331,0
-0.08392,0
-0.08453,0
-0.08484,0
-0.08514,0
-0.08545,0
-0.08575,0
-0.08606,0
-0.08636,0
-0.08636,0
-0.08636,0
-0.08667,0
-0.08667,0
-0.08667,0
-0.08636,0
-0.08636,0
-0.08636,0
-0.08636,0
-0.08636,0
-0.08667,0
-0.08667,0
-0.08698,0
-0.08728,0
-0.08759,0
-0.08759,0
-0.08789,0
-0.08789,0
-0.0882,0
-0.0882,0
-0.0882,0
-0.0882,0
-0.0882,0
-0.0882,0
-0.08789,0
-0.08789,0
-0.08759,0
-0.08728,0
-0.08667,0
-0.08636,0
-0.08575,0
-0.08545,0
-0.08484,0
-0.08423,0
-0.08362,0
-0.08331,0
-0.0827,0
-0.08209,0
-0.08179,0
-0.08118,0
-0.08087,0
-0.08087,0
-0.08057,0
-0.08057,0
-0.08087,0
-0.08087,0
-0.08118,0
-0.08148,0
-0.08209,0
-0.0824,0
-0.08301,0
-0.08362,0
-0.08423,0
-0.08484,0
-0.08545,0
-0.08606,0
-0.08667,0
-0.08698,0
-0.08728,0
-0.08759,0
-0.08759,0
-0.08759,0
-0.08759,0
-0.08759,0
-0.08728,0
-0.08698,0
-0.08667,0
-0.08636,0
-0.08636,0
-0.08606,0
-0.08606,0
-0.08575,0
-0.08545,0
-0.08514,0
-0.08484,0
-0.08423,0
-0.08392,0
-0.08331,0
-0.0827,0
-0.08209,0
-0.08148,0
-0.08087,0
-0.08057,0
-0.07996,0
-0.07965,0
-0.07935,0
-0.07904,0
-0.07874,0
-0.07843,0
-0.07813,0
-0.07813,0
-0.07813,0
-0.07843,0
-0.07843,0
-0.07874,0
-0.07904,0
-0.07935,0
-0.07965,0
-0.07996,0
-0.08026,0
-0.08026,0
-0.07996,0
-0.07965,0
-0.07904,0
-0.07874,0
-0.07782,0
-0.07721,0
-0.0766,0
-0.07568,0
