EMG,EMG integral
0.0616455,0
0.0610352,0.000616455
0.0799561,0.00122681
0.0585938,0.00202637
0.0549316,0.0026123
0.03479,0.00316162
0.0488281,0.00350952
0.0244141,0.0039978
0.057373,0.00424194
0.0592041,0.00481567
0.0592041,0.00540771
0.0396729,0.00599976
0.0695801,0.00639648
0.0653076,0.00709229
0.0622559,0.00774536
0.0445557,0.00836792
0.0402832,0.00881348
0.0488281,0.00921631
0.0396729,0.00970459
0.0494385,0.0101013
0.0354004,0.0105957
0.0439453,0.0109497
0.0463867,0.0113892
0.0543213,0.011853
0.0500488,0.0123962
0.0592041,0.0128967
0.0506592,0.0134888
0.0579834,0.0139954
0.0427246,0.0145752
0.0299072,0.0150024
0.0616455,0.0153015
0.0512695,0.015918
0.0457764,0.0164307
0.0390625,0.0168884
0.0439453,0.0172791
0.067749,0.0177185
0.0634766,0.018396
0.0585938,0.0190308
0.0653076,0.0196167
0.0439453,0.0202698
0.0561523,0.0207092
0.0494385,0.0212708
0.0488281,0.0217651
0.0524902,0.0222534
0.0299072,0.0227783
0.0701904,0.0230774
0.0518799,0.0237793
0.057373,0.0242981
0.0616455,0.0248718
0.0341797,0.0254883
0.0787354,0.0258301
0.0585938,0.0266174
0.0610352,0.0272034
0.0512695,0.0278137
0.0463867,0.0283264
0.0793457,0.0287903
0.0585938,0.0295837
0.0415039,0.0301697
0.0732422,0.0305847
0.0506592,0.0313171
0.00915527,0.0318237
0.0482178,0.0319153
0.0341797,0.0323975
0.0427246,0.0327393
0.0311279,0.0331665
0.0592041,0.0334778
-0.00244141,0.0340698
0.0134277,0.0340942
0.0604248,0.0342285
0.045166,0.0348328
0.0177002,0.0352844
0.0274658,0.0354614
0.0170898,0.0357361
0.0445557,0.035907
0.0341797,0.0363525
0.0445557,0.0366943
0.0518799,0.0371399
0.0396729,0.0376587
0.0274658,0.0380554
0.0469971,0.0383301
0.0469971,0.0388
0.0274658,0.03927
0.0457764,0.0395447
0.0494385,0.0400024
-0.00366211,0.0404968
0.0244141,0.0405334
0.0195313,0.0407776
0.0274658,0.0409729
0.00366211,0.0412476
0.00732422,0.0412842
0.00793457,0.0413574
0.0244141,0.0414368
0.0189209,0.0416809
0.0201416,0.0418701
0.0622559,0.0420715
0.0610352,0.0426941
0.0671387,0.0433044
0.0402832,0.0439758
-0.0311279,0.0443787
0.0354004,0.0446899
0.00183105,0.0444458
0.00915527,0.043927
0.000610352,0.0431335
-0.0402832,0.0429504
-0.0354004,0.0427551
-0.00366211,0.0424438
0.0262451,0.042218
0.0213623,0.0421875
-0.057373,0.0421875
0.00793457,0.0416748
0.0012207,0.041095
-0.0158691,0.0408569
-0.00976563,0.0402588
-0.0109863,0.0397156
-0.0231934,0.039325
0.00183105,0.0388977
0.00366211,0.0385315
-0.00976563,0.0381409
0.000610352,0.0377502
-0.00488281,0.0373047
0,0.0369507
-0.00854492,0.0365967
-0.0280762,0.0364136
0.0292969,0.0361633
0.0311279,0.0359741
0.000610352,0.0353882
0.0183105,0.0350647
0.00488281,0.0345337
-0.00671387,0.0341736
0,0.0338745
-0.00732422,0.0333313
-0.0323486,0.0331421
-0.0311279,0.0329956
-0.0189209,0.0327942
-0.0231934,0.0325867
-0.00793457,0.0319885
-0.0610352,0.0319641
0.0292969,0.0316711
-0.00366211,0.0310547
0.00427246,0.030658
-0.0476074,0.0305725
0.00244141,0.0301025
-0.0189209,0.0298035
0.00732422,0.0293518
0.00488281,0.0291016
-0.012207,0.0285217
-0.00488281,0.0280518
-0.00610352,0.0275391
-0.00854492,0.0270081
-0.0189209,0.0268555
-0.0158691,0.0262268
-0.0341797,0.0259827
-0.0201416,0.0255737
-0.0268555,0.0253296
-0.0482178,0.0253479
-0.0305176,0.0248596
-0.0366211,0.0246399
-0.0415039,0.0246399
-0.0378418,0.0242859
-0.0238037,0.0240173
-0.0579834,0.0245056
-0.0286865,0.0243103
-0.0109863,0.0240784
-0.0280762,0.0239319
-0.0427246,0.0240479
-0.0134277,0.0235901
-0.0341797,0.0239075
-0.00976563,0.0238708
-0.0531006,0.0237976
-0.065918,0.0240051
-0.057373,0.0244019
-0.0292969,0.0244202
-0.057373,0.024823
-0.0506592,0.024884
-0.020752,0.0247498
-0.0585938,0.0248901
-0.00854492,0.0244568
-0.0244141,0.0243042
-0.0189209,0.0242188
-0.0286865,0.0240356
-0.00366211,0.0236023
-0.00183105,0.0233459
-0.0335693,0.0232239
0.0146484,0.022876
0.0195313,0.0230347
0.0128174,0.0229187
-0.00305176,0.0227539
-0.0250244,0.0227295
-0.00915527,0.0227844
0.00366211,0.0227478
-0.0256348,0.0229248
-0.0482178,0.0231628
-0.0537109,0.0235107
-0.0750732,0.0240601
-0.0390625,0.0238281
-0.0457764,0.0236755
-0.0488281,0.0234924
-0.0292969,0.0233826
-0.0360107,0.0234314
-0.0421143,0.0234985
-0.0354004,0.0238342
-0.0238037,0.0239807
-0.0213623,0.0241882
0.00244141,0.0238098
0.057373,0.0240295
0.0244141,0.0242371
0,0.0239746
-0.00244141,0.0237854
0.00915527,0.0233032
-0.0390625,0.0236145
-0.0115967,0.0237183
-0.111084,0.0246704
-0.0610352,0.0251831
-0.0891113,0.0259644
-0.125122,0.0269836
-0.112305,0.0280884
-0.0463867,0.0285156
-0.00183105,0.0284363
-0.0134277,0.0285645
-0.0799561,0.0293152
-0.045166,0.0297668
0.0146484,0.0298279
0.00244141,0.0295715
-0.0445557,0.0297241
-0.0360107,0.0297729
-0.0402832,0.0301697
-0.0463867,0.0304504
-0.0469971,0.0308716
-0.0585938,0.0313904
-0.00976563,0.031488
-0.0756836,0.0321716
-0.0531006,0.0323792
-0.0488281,0.0325562
-0.0158691,0.0325256
-0.00488281,0.0323425
-0.0164795,0.032428
-0.0335693,0.0321533
-0.03479,0.0322083
-0.0482178,0.0326538
-0.012207,0.0327332
-0.0268555,0.0325256
-0.0457764,0.032959
-0.0561523,0.0333313
-0.0408936,0.033667
-0.0531006,0.0341492
-0.0152588,0.0341797
0.0012207,0.0341431
-0.0109863,0.0341919
-0.00305176,0.034137
0.00305176,0.0339783
-0.0408936,0.0342285
-0.0567627,0.0344543
0.0244141,0.0344971
-0.0177002,0.0344055
-0.0537109,0.0344604
-0.0469971,0.0346252
0.0177002,0.034436
-0.0109863,0.0341309
0.00610352,0.0338135
-0.0292969,0.0338684
-0.0653076,0.0339417
-0.0109863,0.0337646
0.0109863,0.0337646
-0.0585938,0.0340698
-0.0854492,0.0344971
-0.0311279,0.0346741
-0.0134277,0.0344666
-0.0299072,0.034668
0.0640869,0.0347778
0.0305176,0.0344238
0.00427246,0.0338928
0.0341797,0.0339417
-0.022583,0.0335937
-0.00854492,0.0331726
-0.00732422,0.0330383
-0.055542,0.0330078
-0.0750732,0.0336731
-0.0512695,0.0339417
-0.0592041,0.0343445
-0.0689697,0.0347473
-0.0213623,0.0349243
-0.045166,0.0353577
-0.0378418,0.0354004
-0.0109863,0.0353638
-0.0445557,0.035614
-0.0360107,0.0358459
-0.00915527,0.035907
-0.022583,0.0358826
-0.0360107,0.0361511
-0.00183105,0.0361328
-0.00915527,0.035968
-0.0195313,0.0356812
-0.0274658,0.0354187
-0.0512695,0.0351807
-0.0311279,0.0351013
-0.000610352,0.0346497
-0.0616455,0.0347778
-0.0231934,0.0347168
0.0158691,0.0345154
-0.0299072,0.0343933
-0.0335693,0.034375
0.0189209,0.0343262
0.0219727,0.0343323
-0.0402832,0.0347107
-0.0299072,0.034436
-0.0152588,0.0343445
-0.0158691,0.0345032
-0.0793457,0.0352722
-0.0262451,0.0354431
-0.0244141,0.0352966
-0.0488281,0.0356689
-0.0189209,0.0347473
-0.0280762,0.0344177
-0.0335693,0.0338623
-0.0213623,0.0328247
-0.0195313,0.031897
-0.0183105,0.0316162
-0.0012207,0.0316101
-0.032959,0.0318054
-0.0622559,0.0316284
-0.0421143,0.0315979
-0.0262451,0.0317139
-0.0311279,0.0320007
-0.032959,0.0318848
-0.0170898,0.0316956
-0.0256348,0.0315491
-0.0909424,0.0319946
-0.00610352,0.0315857
0.0250244,0.03125
-0.045166,0.031604
-0.03479,0.0311951
-0.0396729,0.0310608
-0.0219727,0.0307922
-0.020752,0.0308411
-0.0396729,0.031189
-0.00854492,0.0311096
-0.0140381,0.0309143
-0.0158691,0.0307251
-0.0195313,0.0304382
-0.0262451,0.0305786
-0.03479,0.030658
-0.0579834,0.03078
-0.0262451,0.030481
-0.0146484,0.0302185
-0.0372314,0.0300598
-0.0805664,0.0307129
-0.045166,0.0311523
0.00793457,0.0311218
-0.0292969,0.0313843
-0.0561523,0.0319153
-0.0482178,0.0319885
-0.00610352,0.0314819
0,0.0312378
-0.0445557,0.0315063
-0.0335693,0.0313049
-0.00305176,0.0308655
-0.067749,0.031366
-0.0262451,0.0315186
-0.0415039,0.0318726
-0.0579834,0.0321594
-0.0567627,0.032074
-0.0439453,0.0324036
-0.0793457,0.0330872
-0.0354004,0.0328552
-0.0390625,0.0323914
-0.0292969,0.032373
-0.0292969,0.0325317
-0.0115967,0.0323486
-0.012207,0.0318298
-0.0463867,0.0319885
-0.0561523,0.0325073
-0.0292969,0.0324585
-0.0268555,0.0325012
-0.0640869,0.0330566
-0.0720215,0.0337036
-0.0390625,0.0335388
-0.0744629,0.0335327
-0.0622559,0.0336426
-0.0354004,0.0334045
-0.0396729,0.0331116
-0.0396729,0.0332947
-0.0488281,0.0333313
-0.0537109,0.03349
-0.0415039,0.0337952
-0.0549316,0.0338989
-0.0274658,0.0338135
-0.0518799,0.0342407
-0.0494385,0.0345093
-0.022583,0.034375
-0.0366211,0.0347229
-0.0610352,0.0352417
-0.0982666,0.0360291
-0.0604248,0.0363586
-0.043335,0.0362793
-0.0616455,0.0365845
-0.0970459,0.0375488
-0.123291,0.0381653
-0.0744629,0.038678
-0.0585938,0.0391052
-0.0335693,0.0391418
-0.0543213,0.0393494
-0.0958252,0.0401184
-0.0518799,0.0404175
-0.012207,0.0401367
-0.0219727,0.0400574
-0.00244141,0.0399292
0.03479,0.0401184
0.0195313,0.0395203
0.0183105,0.0394409
-0.0268555,0.0394653
-0.0463867,0.0394409
-0.0311279,0.039563
-0.0799561,0.0400818
-0.118408,0.0409302
-0.13916,0.0421082
-0.116577,0.0430786
-0.111694,0.0440125
-0.0909424,0.0449097
-0.0946045,0.0455261
-0.055542,0.045459
-0.0793457,0.0458313
-0.0482178,0.046051
-0.0567627,0.0463074
-0.0836182,0.046814
-0.10498,0.0476929
-0.0506592,0.0479431
-0.0860596,0.0478943
-0.0622559,0.0484558
-0.105591,0.0492615
-0.0860596,0.0496704
-0.0274658,0.0495972
-0.057373,0.0497742
-0.0402832,0.0499573
-0.0500488,0.0502502
-0.0457764,0.0503113
-0.0427246,0.0506531
-0.0439453,0.0509521
-0.0354004,0.0511475
-0.0628662,0.0515808
-0.0714111,0.0520325
-0.0610352,0.0522949
-0.010376,0.0518188
-0.0195313,0.0517517
-0.0244141,0.0518494
-0.0701904,0.052179
-0.0683594,0.0520569
-0.0561523,0.0521667
-0.0311279,0.0523987
-0.0695801,0.0528015
-0.122681,0.0534668
-0.106201,0.0540466
-0.0537109,0.0545227
-0.0567627,0.0550903
-0.0518799,0.0551636
-0.0244141,0.055072
-0.0531006,0.0555725
-0.0317383,0.0552124
-0.0268555,0.0552185
-0.0646973,0.0554504
-0.0372314,0.0552429
-0.067749,0.0553528
-0.03479,0.0552612
-0.045166,0.0549194
-0.0360107,0.0549255
-0.0634766,0.0551697
-0.0671387,0.0555481
-0.0463867,0.055719
-0.0646973,0.05625
-0.0543213,0.0566711
-0.0598145,0.0568054
-0.0921631,0.0571655
-0.0897217,0.0577698
-0.0592041,0.0580933
-0.0671387,0.0581238
-0.0982666,0.0583862
-0.0805664,0.0588013
-0.0939941,0.0589966
-0.0793457,0.0591675
-0.0762939,0.0595764
-0.0756836,0.0599365
-0.088501,0.0604248
-0.0708008,0.0606445
-0.0622559,0.06073
-0.078125,0.0610962
-0.0585938,0.0611328
-0.0628662,0.0614868
-0.0622559,0.0615906
-0.0408936,0.0615051
-0.0195313,0.0614746
-0.0195313,0.0613037
-0.0372314,0.0610657
-0.0335693,0.0604187
-0.130615,0.0611206
-0.0909424,0.0615967
-0.057373,0.061554
-0.106201,0.0616455
-0.113525,0.0615479
-0.125122,0.0620544
-0.112305,0.0625916
-0.0714111,0.06297
-0.101318,0.0634399
-0.101929,0.063501
-0.0421143,0.0634033
-0.0836182,0.0641174
-0.105591,0.0649536
-0.0939941,0.0658691
-0.065918,0.0661804
-0.0341797,0.0663269
-0.101929,0.0671631
-0.0701904,0.0675964
-0.0476074,0.0676086
-0.0738525,0.0680359
-0.0909424,0.0681458
-0.0817871,0.0677795
-0.106812,0.0674561
-0.105591,0.0673462
-0.0640869,0.0668701
-0.0726318,0.066687
-0.0762939,0.0665039
-0.0738525,0.066687
-0.0622559,0.0665161
-0.10376,0.0670715
-0.0646973,0.0671509
-0.0720215,0.0670349
-0.0982666,0.0669678
-0.102539,0.0674866
-0.0891113,0.0675171
-0.0952148,0.0678467
-0.0769043,0.0675598
-0.0579834,0.0672791
-0.0946045,0.0679504
-0.0836182,0.0682129
-0.0842285,0.0686523
-0.0683594,0.0688354
-0.0701904,0.0690796
-0.0994873,0.0696472
-0.0616455,0.0698242
-0.10498,0.07052
-0.128784,0.0711792
-0.0158691,0.0706238
-0.0708008,0.0707214
-0.0964355,0.071582
-0.0958252,0.072345
-0.0769043,0.0728699
-0.0531006,0.072699
-0.0360107,0.0723755
-0.0708008,0.072522
-0.0653076,0.0728638
-0.137329,0.0735413
-0.0848389,0.0731628
-0.0610352,0.0727112
-0.105591,0.07323
-0.0830078,0.0734924
-0.130005,0.0742737
-0.0994873,0.0750244
-0.109253,0.0755859
-0.0964355,0.0762329
-0.0775146,0.0767395
-0.0830078,0.0769226
-0.0665283,0.0772156
-0.0592041,0.0771301
-0.125122,0.0780334
-0.0756836,0.0783386
-0.0665283,0.0786438
-0.0817871,0.0788269
-0.0909424,0.0790649
-0.110474,0.0797058
-0.0897217,0.0799561
-0.098877,0.0804016
-0.0891113,0.0806946
-0.0927734,0.0807007
-0.0616455,0.0804199
-0.0598145,0.080426
-0.0622559,0.0803772
-0.0866699,0.0802612
-0.111084,0.0805664
-0.10498,0.0806763
-0.0878906,0.0807617
-0.103149,0.0810303
-0.109863,0.0813721
-0.128784,0.0817749
-0.098877,0.0820557
-0.0921631,0.0823547
-0.0726318,0.0822998
-0.0683594,0.0823975
-0.0793457,0.0825623
-0.0750732,0.0826904
-0.0860596,0.0831421
-0.0939941,0.0838867
-0.0762939,0.0844543
-0.0665283,0.0847473
-0.12146,0.0856262
-0.120239,0.0855225
-0.10498,0.0856628
-0.142822,0.0865173
-0.107422,0.0865295
-0.0982666,0.086377
-0.141602,0.0865417
-0.136108,0.0867798
-0.10437,0.0871094
-0.10498,0.087146
-0.114136,0.0872681
-0.106201,0.0879089
-0.109253,0.0881653
-0.108032,0.0881897
-0.114136,0.0883911
-0.12085,0.0889404
-0.115967,0.0897583
-0.128784,0.0900269
-0.0952148,0.0902771
-0.0714111,0.0905151
-0.0982666,0.0907593
-0.116577,0.0910156
-0.130615,0.0915039
-0.0732422,0.0911682
-0.105591,0.0911682
-0.107422,0.0916016
-0.134888,0.0922241
-0.137939,0.0928406
-0.130615,0.0934082
-0.10376,0.0938232
-0.147705,0.0942627
-0.135498,0.0949707
-0.125122,0.0955017
-0.161743,0.0961365
-0.13916,0.0965027
-0.123291,0.0968445
-0.145874,0.0973511
-0.136108,0.0979431
-0.125122,0.0986145
-0.143433,0.0991028
-0.123291,0.0994995
-0.101929,0.0996765
-0.112305,0.100116
-0.106812,0.100482
-0.123901,0.100726
-0.116577,0.101276
-0.126953,0.101495
-0.140991,0.101617
-0.129395,0.102753
-0.0811768,0.102856
-0.120239,0.103094
-0.109863,0.103235
-0.143433,0.1039
-0.0952148,0.104321
-0.0946045,0.104907
-0.141602,0.105615
-0.131226,0.106274
-0.134277,0.106244
-0.144653,0.106842
-0.151978,0.107751
-0.143433,0.10813
-0.145264,0.108752
-0.12207,0.108673
-0.123291,0.108911
-0.12085,0.109027
-0.119019,0.109253
-0.117188,0.10965
-0.112915,0.109949
-0.122681,0.11051
-0.107422,0.110992
-0.0860596,0.110602
-0.105591,0.110901
-0.0958252,0.111194
-0.114746,0.111523
-0.108643,0.1117
-0.132446,0.11192
-0.125122,0.112274
-0.12207,0.112506
-0.114136,0.112756
-0.154419,0.113373
-0.151978,0.114276
-0.131226,0.11499
-0.0976563,0.115344
-0.12146,0.115692
-0.110474,0.115686
-0.112305,0.115759
-0.119019,0.116071
-0.0970459,0.11601
-0.12085,0.116119
-0.123901,0.116071
-0.140991,0.116492
-0.0994873,0.116565
-0.146484,0.117303
-0.140991,0.11803
-0.126953,0.118506
-0.125732,0.119012
-0.109863,0.11925
-0.132446,0.119635
-0.0970459,0.119843
-0.117798,0.120355
-0.133667,0.120477
-0.101929,0.120294
-0.111084,0.120355
-0.133057,0.120258
-0.0976563,0.12016
-0.107422,0.120251
-0.106812,0.119904
-0.10498,0.119592
-0.108032,0.119629
-0.12146,0.119794
-0.144653,0.120099
-0.0976563,0.120013
-0.128784,0.120209
-0.15625,0.120691
-0.125732,0.120807
-0.117798,0.120776
-0.136108,0.120978
-0.150757,0.121198
-0.0915527,0.121161
-0.10498,0.121497
-0.132446,0.121838
-0.111694,0.12179
-0.106201,0.121545
-0.115967,0.121973
-0.106812,0.121985
-0.108032,0.121991
-0.100708,0.121649
-0.123291,0.121503
-0.109863,0.121295
-0.109863,0.121356
-0.115356,0.121033
-0.112305,0.120801
-0.109863,0.120648
-0.101929,0.12005
-0.108643,0.119745
-0.10437,0.119556
-0.0854492,0.118951
-0.0817871,0.118408
-0.0982666,0.11814
-0.115356,0.117859
-0.101929,0.117645
-0.078125,0.117407
-0.112305,0.117407
-0.120239,0.117542
-0.112305,0.117426
-0.117798,0.117438
-0.112915,0.117297
-0.129395,0.117181
-0.10376,0.116925
-0.113525,0.117249
-0.0860596,0.116907
-0.105591,0.116864
-0.115356,0.116583
-0.0671387,0.116302
-0.0909424,0.116266
-0.0634766,0.115485
-0.067749,0.11485
-0.0817871,0.114325
-0.0537109,0.113416
-0.0671387,0.112567
-0.0915527,0.112048
-0.0634766,0.11123
-0.117798,0.111188
-0.106812,0.111023
-0.0744629,0.110559
-0.0927734,0.110297
-0.12085,0.110333
-0.126953,0.110474
-0.171509,0.110962
-0.124512,0.111133
-0.132446,0.111597
-0.136108,0.111902
-0.145874,0.112402
-0.250244,0.113757
-0.200195,0.114673
-0.130615,0.114655
-0.150146,0.114905
-0.202026,0.115704
-0.214233,0.116705
-0.196533,0.117126
-0.17334,0.11734
-0.17334,0.117761
-0.159302,0.118378
-0.122681,0.11839
-0.107422,0.118359
-0.10498,0.118286
-0.109863,0.118195
-0.0543213,0.117767
-0.0195313,0.116754
-0.0634766,0.11615
-0.032959,0.11507
-0.0408936,0.114484
-0.196533,0.114984
-0.149536,0.11507
-0.0708008,0.114508
-0.172119,0.114972
-0.126953,0.115143
-0.267334,0.116492
-0.127563,0.116797
-0.0897217,0.116516
-0.045166,0.115631
-0.0799561,0.115411
-0.189209,0.116193
-0.129395,0.116156
-0.0939941,0.116119
-0.12146,0.11626
-0.151367,0.116705
-0.293579,0.118591
-0.183105,0.119342
-0.292358,0.121051
-0.19043,0.121509
-0.151978,0.122052
-0.170898,0.122473
-0.144043,0.122351
-0.0793457,0.121887
-0.13916,0.122101
-0.0244141,0.120984
0.0183105,0.119659
-0.0592041,0.119336
-0.00610352,0.118347
0.0909424,0.117932
0.00488281,0.116864
-0.0622559,0.116425
-0.162354,0.116888
-0.0872803,0.116693
-0.0372314,0.115985
-0.00671387,0.115045
-0.146484,0.115277
-0.356445,0.117743
-0.0616455,0.117261
-0.0952148,0.117059
-0.150146,0.117438
-0.126953,0.117609
-0.166016,0.11825
-0.192261,0.119086
-0.247803,0.12052
-0.256958,0.122235
-0.0671387,0.122089
-0.0500488,0.121606
-0.110474,0.121558
-0.220337,0.122742
-0.0787354,0.122748
0.189209,0.123517
0.0115967,0.12243
0.0354004,0.121661
-0.0268555,0.120752
0.144043,0.121063
-0.0372314,0.120142
-0.0799561,0.119904
-0.0622559,0.119391
-0.168457,0.120215
-0.162964,0.120789
-0.0653076,0.120288
-0.101318,0.12063
0.128174,0.121002
-0.0280762,0.120648
0.0439453,0.12041
-0.194702,0.121539
-0.0738525,0.121741
0.0793457,0.121863
-0.109863,0.122046
-0.177612,0.123187
-0.0909424,0.122919
