EMG,EMG ¿n¤À
0.00671387,0
-0.00976563,6.71E-05
-0.0335693,0.000164795
-0.0262451,0.000500488
0.0164795,0.000762939
0.0219727,0.000927734
-0.020752,0.00114746
-0.0213623,0.00135498
-0.0286865,0.0015686
-0.0274658,0.00185547
-0.0170898,0.00213013
0.00610352,0.00230103
-0.0177002,0.00236206
-0.0164795,0.00253906
-0.00610352,0.00270386
0.0012207,0.00276489
-0.00915527,0.0027771
0.0158691,0.00286865
0.00305176,0.00302734
0.00610352,0.00305786
0.0299072,0.0031189
0.0268555,0.00341797
0.043335,0.00368652
0.0354004,0.00411987
0.0445557,0.00447388
0.0317383,0.00491943
0.0317383,0.00523682
0.0396729,0.0055542
-0.03479,0.00595093
-0.00732422,0.00629883
-0.0701904,0.00637207
-0.0787354,0.00707397
-0.0366211,0.00786133
-0.0476074,0.00822754
-0.0604248,0.00870361
-0.0341797,0.00930786
-0.010376,0.00964966
0.0115967,0.00975342
0.0531006,0.00986938
0.0567627,0.0104004
0.0268555,0.010968
0.0421143,0.0112366
0.0140381,0.0116577
0.0274658,0.0117981
0.0250244,0.0120728
0.0109863,0.012323
-0.00915527,0.0124329
0.00915527,0.0125244
0.00366211,0.012616
0.0012207,0.0126526
-0.00427246,0.0126648
0.00793457,0.0127075
-0.00915527,0.0127869
0.00732422,0.0128784
0.0170898,0.0129517
0.0494385,0.0131226
-0.00610352,0.0136169
-0.00183105,0.013678
0.0494385,0.0136963
0.0256348,0.0141907
-0.0286865,0.014447
-0.0170898,0.0147339
-0.00305176,0.0149048
-0.0323486,0.0149353
-0.0366211,0.0152588
-0.0134277,0.015625
-0.00671387,0.0157593
-0.010376,0.0158264
-0.012207,0.0159302
0.0170898,0.0160522
0.045166,0.0162231
0.00915527,0.0166748
0.0244141,0.0167664
0.00244141,0.0170105
0.0317383,0.0170349
-0.0213623,0.0173523
-0.03479,0.0175659
-0.0238037,0.0179138
-0.00305176,0.0181519
-0.0396729,0.0181824
-0.0244141,0.0185791
-0.00549316,0.0188232
0.000610352,0.0188782
0,0.0188843
-0.00305176,0.0188843
0.00732422,0.0189148
0.0512695,0.018988
-0.00488281,0.0195007
0.0140381,0.0195496
0.057373,0.0196899
-0.0158691,0.0202637
0.00244141,0.0204224
-0.00427246,0.0204468
0.000610352,0.0204895
0.010376,0.0204956
-0.010376,0.0205994
0.000610352,0.0207031
-0.00732422,0.0207092
-0.0256348,0.0207825
-0.00610352,0.0210388
0.010376,0.0211365
0.00915527,0.0211304
0.00244141,0.0208191
-0.0244141,0.0208008
-0.010376,0.0207397
-0.0158691,0.0206787
-0.0360107,0.0208313
-0.0152588,0.0207703
0.0012207,0.0204956
-0.00183105,0.0202393
-0.000610352,0.0200745
-0.00854492,0.0200989
-0.0012207,0.0199341
0.0134277,0.0199036
0.0134277,0.0199768
0.00427246,0.0200073
0.0128174,0.0200439
-0.00366211,0.0199219
-0.010376,0.0199951
0.00488281,0.0199829
0.00854492,0.0197693
0,0.0195007
-0.0158691,0.0192261
0.00610352,0.0189331
-0.00488281,0.0185364
0.00183105,0.0182373
0.0195313,0.0181152
0.00549316,0.0177734
0.0305176,0.0177307
0.0152588,0.0178101
0.0305176,0.0174133
0.0250244,0.0168762
0.0299072,0.0168091
0.00732422,0.0164063
-0.0109863,0.0159119
-0.00366211,0.0156067
-0.00915527,0.0155945
-0.00976563,0.0155762
-0.0195313,0.0152405
0.00488281,0.0147217
-0.0213623,0.0146667
0,0.0142456
0.00427246,0.0141479
0.0152588,0.0140259
0.0170898,0.0139465
0.00671387,0.0139038
-0.0183105,0.0139954
-0.010376,0.0140076
0.0152588,0.0141235
0.00915527,0.0142029
0,0.0141602
0.0183105,0.0142639
0.00976563,0.01427
0.00427246,0.0142395
-0.0128174,0.0141968
-0.00366211,0.013739
0.0115967,0.0137939
-0.00671387,0.0138428
-0.00305176,0.0133789
-0.00549316,0.0131775
-0.00183105,0.0129089
0.0262451,0.0130005
0.0152588,0.0131226
-0.00671387,0.0128662
0.0262451,0.0127625
0.0250244,0.0128784
0.0213623,0.0130249
-0.00427246,0.0129639
-0.00488281,0.0128906
0.00671387,0.0127869
0.010376,0.012439
-0.00854492,0.0124329
0,0.0121887
0.000610352,0.0121704
-0.0012207,0.0118652
0.00366211,0.0116882
0.00488281,0.0113892
0.0311279,0.0114624
0.0195313,0.0116272
-0.0305176,0.0115356
0.0280762,0.0115723
0.0256348,0.0117737
