EEG,alpha,beta,delta,theta
1.25732,0.07491,0.55303,0.28874,0.47269
1.43433,0.10547,0.40597,0.40442,0.67649
1.51978,0.1216,0.24607,0.5142,0.86188
2.02637,0.12401,0.14991,0.61739,1.02229
2.39258,0.11502,0.08281,0.71335,1.15194
2.13013,0.09803,-0.06426,0.80148,1.24599
1.61743,0.07666,-0.36338,0.88125,1.3007
1.3855,0.05408,-0.74674,0.95218,1.31353
1.86157,0.03249,-0.99998,1.01389,1.28333
1.92871,0.01286,-0.87981,1.06609,1.2105
2.14233,-0.00488,-0.29119,1.1086,1.09716
2.76489,-0.02154,0.5957,1.14128,0.94705
3.53394,-0.03812,1.38617,1.16414,0.76527
3.62549,-0.05532,1.65809,1.17724,0.5579
2.81982,-0.07305,1.20849,1.18081,0.33184
1.58691,-0.09,0.19635,1.17514,0.09473
0.54321,-0.1036,-0.91798,1.16057,-0.14522
-0.74463,-0.11046,-1.6125,1.1375,-0.37967
-1.60522,-0.10701,-1.5844,1.10642,-0.60055
-1.29395,-0.09031,-0.90278,1.06799,-0.8003
-0.22583,-0.05879,0.05374,1.02292,-0.97216
1.02539,-0.01287,0.82729,0.97194,-1.11031
0.89722,0.04454,1.12877,0.9158,-1.21013
0.19531,0.10797,0.95501,0.85528,-1.2684
-0.65308,0.16962,0.52233,0.79127,-1.28332
-0.80566,0.22019,0.08742,0.72468,-1.25468
-0.61035,0.25013,-0.20937,0.65642,-1.1838
-0.56152,0.25132,-0.37843,0.58738,-1.07348
-0.68359,0.21863,-0.49405,0.5185,-0.92801
-1.01318,0.15109,-0.57931,0.45067,-0.75287
-1.0498,0.05261,-0.56574,0.38481,-0.55464
-0.68359,-0.06793,-0.36096,0.32179,-0.34068
-0.02441,-0.19717,0.03865,0.26247,-0.11888
0.8728,-0.3186,0.49233,0.20764,0.10275
1.19629,-0.41474,0.7769,0.15802,0.31635
1.19629,-0.46948,0.73057,0.11423,0.51451
0.76904,-0.47071,0.37261,0.07685,0.69039
0.3418,-0.41227,-0.09621,0.04643,0.83799
0.46997,-0.29542,-0.42269,0.02343,0.95239
1.09253,-0.12935,-0.46911,0.00818,1.03006
1.5564,0.06943,-0.29672,0.00091,1.06893
